"1",,"11번가-젠틀펫 ","11번가 ","petglobal3","2.85",,,,,"/uploads/______________________1_.xlsx",,,"0","업로드완료","11/4/2019 16:14:00","9/9/2020 13:29:34"
"2","6","11번가-올라펫샵 ","11번가 ","esccompany11","2.86","4589","1302","81","3206","/uploads/Book1_5.xlsx","9/9/2020 23:41:01",,"1","업로드완료","11/4/2019 16:14:00","9/9/2020 23:41:40"
"3",,"G마켓-젠틀펫 ","G마켓","petglobal","8",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"4",,"G마켓-올라펫샵 ","G마켓","esccompany","3.5",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"5",,"고도몰5-펫슬랩 ","고도몰5","worldxlab","7",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"6",,"고도몰5-KB몰 ","고도몰5","holapet","10",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"7",,"고도몰5-자사몰 ","고도몰5","esc0711","12",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"8",,"롯데아이몰 ","롯데아이몰","024770LT","12",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"9",,"스토어팜-올라펫샵 ","스토어팜","esccompany","13",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"10",,"스토어팜-젠틀펫 ","스토어팜","orionkin@naver.com","12",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"11",,"옥션-젠틀펫 ","옥션","petglobalnet","13",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"12",,"옥션-올라펫샵 ","옥션","esccompany","15",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"13",,"위메프 1.0-펫글로벌네트웍스 ","위메프(신)","petglobal","26",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"14",,"위메프 1.0-올라펫샵 ","위메프(신)","escccompany","6",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"15",,"위메프2.0-올라펫샵 ","위메프2.0","escccompany","8.8",,,,,,,,"1","판매중","11/4/2019 16:14:00",
"16",,"이랜드몰 ","이랜드몰","V180006367","10.13",,,,,,,,"0","판매중","11/4/2019 16:14:00",
"17",,"인터파크-오픈마켓-젠틀펫 인터파크","인터파크-오픈마켓","ggm1009",,,,,,,,,"0","판매중",,
"18",,"인터파크-오픈마켓-올라펫샵","인터파크-오픈마켓 ","esccompany",,,,,,,,,"1","판매중",,
"19",,"카카오 톡스토어-이에쓰씨컴퍼니","카카오 톡스토어","admin@holapet.com",,,,,,,,,"1","판매중",,
"20",,"쿠팡(신)-이에쓰씨컴퍼니","쿠팡(신)","esccompany",,,,,,,,,"1","판매중",,
"21",,"쿠팡(신)-펫글로벌네트웍스","쿠팡(신)","petglobal",,,,,,,,,"1","판매중",,
"22",,"카카오톡 선물하기-이에쓰씨컴퍼니","펫글로벌네트웍스_카카오톡선물하기",,,,,,,,,,"1","판매중",,
"23",,"인터파크펫-esc","인터파크","esccompany",,,,,,,,,"1","판매중",,
"24",,"옥션2.0-esc","옥션2.0","esccompany",,,,,,,,,"1","판매중",,
"25",,"지마켓2.0-esc","지마켓2.0","esccompany",,,,,,,,,"1","판매중",,
"26",,"CJMALL-esc","CJMALL","esc0711",,,,,,,,,"1","판매중",,
"27",,"SSG-esc","SSG","006463685",,,,,,,,,"1","판매중",,
"28",,"현대H몰-esc","현대H몰","hsesc0711",,,,,,,,,"1","판매중",,
"29",,"롯데ON-esc","롯데ON","LD477832",,,,,,,,,"1","판매중",,
"30",,"롯데백화점-esc","롯데백화점","holapet",,,,,,,,,"1","판매중",,
"31",,"카페24(신)-esc","카페24(신)","esccompany",,,,,,,,,"1","판매중",,
"32",,"카페24(신)-husseshop","카페24(신)","husseshop",,,,,,,,,"1","판매중",,
"33",,"고도몰5-esc","고도몰5","esccompany",,,,,,,,,"1","판매중",,
"34",,"티몬-esc","티몬","esccompany",,,,,,,,,"1","판매중",,
